,0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
504797,0,2188225049,Mon Jun 15 21:30:55 PDT 2009,NO_QUERY,Webimpulse,Argh! I can't believe I lost the 1990's trivial game @trixie360 held! I thought I was a '90's child for sure...and I loved Sega back then 
580088,0,2213772141,Wed Jun 17 15:49:29 PDT 2009,NO_QUERY,RoseMcFlyxDanny,Night everyone!! Tweet soon!! Maths and RE test tomorrow  xxx
325824,0,2007723317,Tue Jun 02 13:03:29 PDT 2009,NO_QUERY,LeaLunacy,@fallenleaves aaw! That's too baad 
1514564,4,2175494760,Mon Jun 15 01:08:47 PDT 2009,NO_QUERY,prateekgupta,@gryphusnick The weekend was awesome...Went to BBQ Nation good fun 
483929,0,2180570322,Mon Jun 15 10:39:00 PDT 2009,NO_QUERY,stephenjerzak,My mac book will die in like 30 seconds! 
165199,0,1960669360,Fri May 29 08:19:30 PDT 2009,NO_QUERY,DsBabyGirl,@nkotblorib Nothing definite yet..and the show is in a week   I may just be resorted to giving them away
428850,0,2064014592,Sun Jun 07 04:56:08 PDT 2009,NO_QUERY,batistutagirl,Hates When The Football Season Is Over! 
1006129,4,1880580459,Fri May 22 01:45:02 PDT 2009,NO_QUERY,katienani,"wedding planning, late into the night... loves my life "
1501699,4,2071517820,Sun Jun 07 19:31:35 PDT 2009,NO_QUERY,nitiaismail,"@triasputri irmaa, questionnaire section di thesis,lo taro di chapter berapa? 3/4? Danke sweetie. "
1237097,4,1992956947,Mon Jun 01 09:35:51 PDT 2009,NO_QUERY,Rocks4Ever,@LauraWhittaker hay don't stop tweetin inane crap makes me smile 
355323,0,2043889856,Fri Jun 05 08:33:50 PDT 2009,NO_QUERY,jfmanzo,"PLEASE go to http://krupskupofexcellence.com/ and vote for Kawa, P&amp;S, or DeVille - that horrid Primal Grounds is winning "
174491,0,1964555899,Fri May 29 14:25:30 PDT 2009,NO_QUERY,bryanarmada,"@LaurenHaleStorm yeah, we're on our way home "
1521456,4,2176324891,Mon Jun 15 03:33:42 PDT 2009,NO_QUERY,bellmcneill,GNW  ross nobel.... funny man 
340610,0,2014875222,Wed Jun 03 02:58:42 PDT 2009,NO_QUERY,BlackestRayne,"today? today fails. in every fucking way. i just want it to be over, like, soon.    i think bed might be the solution to that."
1359978,4,2048575630,Fri Jun 05 15:25:32 PDT 2009,NO_QUERY,joe_carney,"@itnewb i looked at your site in the early stages. used @dzone for a long time, hence the immediate comparison. will check it out again "
687492,0,2251289456,Sat Jun 20 03:01:44 PDT 2009,NO_QUERY,electrickattt,I wish 6 year olds could watch House 
559426,0,2204973214,Wed Jun 17 03:37:21 PDT 2009,NO_QUERY,charlotte_aye,In english  !!! xx
956529,4,1825260455,Sun May 17 05:01:14 PDT 2009,NO_QUERY,rumoko,@aparajuli Slightly more robust than my suggestions 
392586,0,2055182437,Sat Jun 06 08:51:15 PDT 2009,NO_QUERY,Chisasibi,Chisasibi is grieving today.  prayers to the Voyageur and Ratt family. Hopefully everyone gets through these sad times.
79702,0,1751975814,Sat May 09 20:44:33 PDT 2009,NO_QUERY,candiestaken,Damm was jus about to attempt to do one of the easier hustles' and the DJ made it clear u fuck it up he calling u OUT..  
28913,0,1559872997,Sun Apr 19 12:15:55 PDT 2009,NO_QUERY,DanielJUK,"From the BBC  -the novelist JG Ballard has died at the age of 78. Several of his books were turned into films including Crash, Empireofsun"
704599,0,2256099347,Sat Jun 20 12:15:33 PDT 2009,NO_QUERY,KaleighGrace,@Kristen_Oyler Dangg  I forgot about the humidity here too.
1520748,4,2176233900,Mon Jun 15 03:18:04 PDT 2009,NO_QUERY,dave_patten,"video shoot at 0800 hours!!! then band practice 12-3, downtown to meet with the biz dudes at 4. check yall laterrr "
1057715,4,1962783519,Fri May 29 11:39:28 PDT 2009,NO_QUERY,JRokes,ya gotta love pictures from the fitting room 
1274683,4,2000996820,Mon Jun 01 23:32:32 PDT 2009,NO_QUERY,pawsthejaws,@alex_mauricio Goodnight 
848943,4,1564959750,Mon Apr 20 05:29:13 PDT 2009,NO_QUERY,egswanso,Lucky me... I got a request for legal services from a dubious Chinese company... does getting targeted by scammers show you've arrived? 
1504556,4,2072190539,Sun Jun 07 20:33:42 PDT 2009,NO_QUERY,Missjoellee,Is freakin smitten 
1360205,4,2048617517,Fri Jun 05 15:29:41 PDT 2009,NO_QUERY,bubbleteamelly,Watching movies all night with Heath 
1261292,4,1998593053,Mon Jun 01 18:48:26 PDT 2009,NO_QUERY,inspiredwriter,@billjacobson I love the Turkey story http://ow.ly/a6N9 &amp; even more I love what you wrote at the bottom: &quot;Please be the gift of you&quot; 
594462,0,2218519479,Wed Jun 17 22:37:54 PDT 2009,NO_QUERY,lyricaldanichan,Hmm viewing YouTube on Safari 4 and the fans on my G5 doesn't go crazy.. hmm Firefox fail 
1175859,4,1981161301,Sun May 31 08:33:24 PDT 2009,NO_QUERY,carrierodriguez,@lullabyeblues have you trried tweetdeck yet? I find it better  or try out seesmic 
841030,4,1559940307,Sun Apr 19 12:26:18 PDT 2009,NO_QUERY,hmm_lexi,is talkingg shitt 
949338,4,1823711390,Sat May 16 22:44:59 PDT 2009,NO_QUERY,ms_yeti,"@sizzlemaker I picked the wrong weekend, everyone was out of town + it was a steady cold rain.  So we watched Freaks and Geeks."
123583,0,1833938243,Mon May 18 01:00:42 PDT 2009,NO_QUERY,drashtibuch,is back to office and the usual bakra to harrass is missing! 
1097151,4,1970371813,Sat May 30 03:35:46 PDT 2009,NO_QUERY,xX_Jane_Xx,Feeling a LOT better. Still have a slight headache but some paracetamol should do the trick. 
1479746,4,2066734069,Sun Jun 07 11:04:24 PDT 2009,NO_QUERY,TrueLoveWay1991,"i'm being nosy,, while my next door neighbour has 3 police cars zooooming to her door!! i lurrvve drama "
106482,0,1823564194,Sat May 16 22:18:54 PDT 2009,NO_QUERY,Tori_Vargas,Hates thunder and lightning 
59821,0,1686240328,Sun May 03 04:29:58 PDT 2009,NO_QUERY,missgreens,Is still over by 200 words 
732039,0,2263975867,Sun Jun 21 02:23:08 PDT 2009,NO_QUERY,FuckinDana, dammit... No more sleep for me.. And on my day off to.. :-/
223731,0,1977265230,Sat May 30 20:32:07 PDT 2009,NO_QUERY,TaylorSmaylor,This is my face- 
1135913,4,1976534219,Sat May 30 18:22:46 PDT 2009,NO_QUERY,viller,"@simultech it's only bad for phud if you were planing on developing Google Waves yerself, which would be a bit silly, so all good "
675760,0,2248193810,Fri Jun 19 20:14:40 PDT 2009,NO_QUERY,ANWarnken,@johnodonnell7 | I hope you don't have to sleep in a terminal chair tonight 
1214095,4,1989417223,Mon Jun 01 01:27:48 PDT 2009,NO_QUERY,lozz,"@timjeffries I &lt;3 the Flip!! Oooh, HD version - nice "
114942,0,1826555696,Sun May 17 08:46:59 PDT 2009,NO_QUERY,dales87,@AideenFarrelly i'm going stir crazy......help! i'm seriously cracking up! police academy 2 is not helping 
759650,0,2296311129,Tue Jun 23 09:01:41 PDT 2009,NO_QUERY,stephenjdonald,oh no ive gone through bushy indie hair to a chav skinhead 
1326881,4,2015313750,Wed Jun 03 04:19:31 PDT 2009,NO_QUERY,B3thy,anywho...had to share my excitement....have a great day everyone 
260522,0,1985693664,Sun May 31 17:35:43 PDT 2009,NO_QUERY,ashleelynn7,@cantlivewithout Definitely not. I've been trying all day to change my profile pic and it won't work  -ash &lt;3
754588,0,2288040261,Mon Jun 22 18:38:21 PDT 2009,NO_QUERY,one_sweetlove,@sociopsychotic i know i miss you  when are we gonna chat bb?
862342,4,1676870753,Fri May 01 23:31:09 PDT 2009,NO_QUERY,annikakes,@cftilley I was never good at waiting.  How are the new floors?
1444390,4,2062252302,Sat Jun 06 22:43:17 PDT 2009,NO_QUERY,DP4rMLoUiSViLLE,@willielongnthik new mosdef??? nd details! thanks 
347648,0,2016523301,Wed Jun 03 06:55:34 PDT 2009,NO_QUERY,jessecrockett,"scrubbing input of html and javascript, by hand "
1466473,4,2064481410,Sun Jun 07 06:23:13 PDT 2009,NO_QUERY,romain_d,So cool @carsonified is now following me  Welcome on my so passionnate Twitter feed !!
458195,0,2071816951,Sun Jun 07 19:58:11 PDT 2009,NO_QUERY,PlanetLandon,"@plentyspace actually, I think @inkcanada isn't here tonight  but we are in here also looking for writers!"
678975,0,2249111118,Fri Jun 19 21:44:22 PDT 2009,NO_QUERY,nessa_baby_mac,I still can't sleep! Urgh!  
1008438,4,1880800952,Fri May 22 02:33:12 PDT 2009,NO_QUERY,queo,@idolart Good to know 
954190,4,1824788572,Sun May 17 02:56:22 PDT 2009,NO_QUERY,pdaonline,Just finished Punisher Warzone.. Pretty good movie.. Better then the first Punisher..  Fun watch..
477065,0,2178066717,Mon Jun 15 07:08:41 PDT 2009,NO_QUERY,KerstinU,"@alisonmf Ugh! Sorry, hope you feel better! "
177691,0,1965742731,Fri May 29 16:27:44 PDT 2009,NO_QUERY,pamvhv,@spjwebster wish @njwebster was coming too  I guess we can make time for you though if we have to ;)
70989,0,1693828457,Sun May 03 23:56:36 PDT 2009,NO_QUERY,nxtkcsensation,@HollywoodIntern I WENT HARD SATURDAY NOW IM SICK.. 
625458,0,2230250495,Thu Jun 18 16:51:01 PDT 2009,NO_QUERY,jennafurbee,My cat hates me. 
1501853,4,2071542724,Sun Jun 07 19:33:58 PDT 2009,NO_QUERY,biancasousa,@tommcfly Good night Tom and good dreams too. 
1277443,4,2001321877,Tue Jun 02 00:30:40 PDT 2009,NO_QUERY,laithz,"@habibh hey Habib, mabrook in the plugin. Personal requests: iPhone &amp; outlook plugins "
1400226,4,2054363476,Sat Jun 06 07:11:11 PDT 2009,NO_QUERY,jengoddess888,@razzlestar06  mine is okay! 
976570,4,1833645898,Sun May 17 23:58:27 PDT 2009,NO_QUERY,kristenelliott,"Cried too much today, but thankfully the misunderstanding is resolved, so no more need for tears "
575630,0,2211146003,Wed Jun 17 12:29:31 PDT 2009,NO_QUERY,bubblesnolan,I am siiting still in AR waiting to head home......urgggh!! Very anxious to get on the road!! Things are not going well for us right now 
790680,0,2325733932,Thu Jun 25 05:58:41 PDT 2009,NO_QUERY,drixenol88,is going to wear his glasses again. 
238747,0,1980476732,Sun May 31 06:51:23 PDT 2009,NO_QUERY,AaronJonesMagic,@clairetanaka We sat right in front of that place but it was not open!!  It opened just as we left arggg with a huge line up of people.
760560,0,2296830652,Tue Jun 23 09:40:16 PDT 2009,NO_QUERY,SunKissd,I miss @indmix and @adaorah already 
1055263,4,1962179583,Fri May 29 10:38:49 PDT 2009,NO_QUERY,jeffparks,"@adampatterson Indeed.  When I start to feel that way I take a step back and focus on what matters in life; friends, helping others, etc "
287991,0,1994410258,Mon Jun 01 11:52:59 PDT 2009,NO_QUERY,geethers,"@muimi07 hey, Dominic is graduating from middle school.  Can you believe he is going to be the 9th grade??  "
846974,4,1564488699,Mon Apr 20 03:43:57 PDT 2009,NO_QUERY,simplyjalyn,Had 2 skip the coffee argh. On the other hand I put no effort into getting ready today and I think I'm quite presentable.  good day today?
765091,0,2299264556,Tue Jun 23 12:42:25 PDT 2009,NO_QUERY,foxxxybrown,@TeeDotReese nooo  it was too far from where I was gonna be! Blah! I'm on this melon-tooth now lol.
1106362,4,1971412757,Sat May 30 07:03:04 PDT 2009,NO_QUERY,supererin97,is painting a lantern. 
737065,0,2265151672,Sun Jun 21 05:55:01 PDT 2009,NO_QUERY,blue9irls,undescribable feelings 
264908,0,1988695809,Sun May 31 23:06:37 PDT 2009,NO_QUERY,froovyjosie,"@Jaicca Maybe I'll make it really worth the wait and go see it at the IMAX &lt;3 Your merchandise, it's so cute! But have no monehhs either "
1180640,4,1981952006,Sun May 31 10:13:30 PDT 2009,NO_QUERY,therockstar76,"Sendin a beautiful Sunday shout 2 @TomekaPearl, thanx 4 rockin wit me, looks like I'll be spendin my B-Day hangin out a bit "
966,0,1468050631,Mon Apr 06 23:27:13 PDT 2009,NO_QUERY,kissbliss1,"18 weeks till sisters home.. i missed her call, again! its the worst feeling in the world. "
285284,0,1993572100,Mon Jun 01 10:35:32 PDT 2009,NO_QUERY,hinamesmichelle,Why doesn't my GPS work? 
150635,0,1932318956,Tue May 26 21:14:02 PDT 2009,NO_QUERY,deleteandrewind,the cavs are letting me down so much 
1500428,4,2071140318,Sun Jun 07 18:54:10 PDT 2009,NO_QUERY,miguelveraleon,"http://twitpic.com/6vmuq - @stuenperu Btw, does this look familiar to you? "
813474,4,1548810361,Fri Apr 17 22:02:21 PDT 2009,NO_QUERY,sora_ringo,going to bad cave tonight at the medusa lounge 
364354,0,2048132510,Fri Jun 05 14:42:47 PDT 2009,NO_QUERY,waitingtohappen,@spike1989 it's fucking pissing it down here and i had to trek back from the library in it. i miss you 
1006345,4,1880600241,Fri May 22 01:49:21 PDT 2009,NO_QUERY,EmmyNewman,@pumpkinheeed You've cheered me up! I especially like the way the cat poked its head round the corner to see where the mouse was 
1579233,4,2189913996,Tue Jun 16 01:14:48 PDT 2009,NO_QUERY,mscuteness,"back in VA, trying to make moves...but im feeling good! last night was a very nice night  hoping time flys but not too fast!! ya dig lol"
1075088,4,1967115957,Fri May 29 19:00:10 PDT 2009,NO_QUERY,bluetidepro,@blazinbands Thanks man! 
444569,0,2067875215,Sun Jun 07 13:06:36 PDT 2009,NO_QUERY,VioletsCRUK,@Pepsimo Aw thats a shame...i hope he improves soon! You feel so helpless when they are poorly..theres nothin worse. 
1057311,4,1962698849,Fri May 29 11:29:23 PDT 2009,NO_QUERY,Addytude,@cjmartin Chick-fil-a rocks. Gotta get the classic sandwich first. Then go back for the others. 
796561,0,2327828450,Thu Jun 25 08:50:15 PDT 2009,NO_QUERY,GJRM,My laptop charger is dying  I hate when stuff breaks.
1381560,4,2052376923,Sat Jun 06 00:31:34 PDT 2009,NO_QUERY,leglesslush,"@jamaicaj good for you, you have to munch out now lol  xoxo"
683325,0,2250241233,Sat Jun 20 00:02:14 PDT 2009,NO_QUERY,guill07,i'm missing the zoo 
1401666,4,2054592495,Sat Jun 06 07:41:08 PDT 2009,NO_QUERY,sparklingsky,Wicked - Because I knew you 
648380,0,2237015053,Fri Jun 19 05:00:57 PDT 2009,NO_QUERY,strawberryymilk,"Said the Whale was so so so so good last night, so happy the encored like 4 songs Now exam on 3 hours of sleep yayy "
171806,0,1963363246,Fri May 29 12:36:36 PDT 2009,NO_QUERY,JaclynnAshley,@LiveFreeT  awww that's sad...
127745,0,1834779832,Mon May 18 04:10:38 PDT 2009,NO_QUERY,DeliveryDemon,@martinrstone  Were you aware of this? http://bit.ly/hJjfA Think winners  were biased towards technology rather than content 
1237046,4,1992954097,Mon Jun 01 09:35:35 PDT 2009,NO_QUERY,kngsuperspecial,New Monkey Island?  'Bout time 
254586,0,1984288200,Sun May 31 14:48:45 PDT 2009,NO_QUERY,pazhaphazard,Exam hell starts from tmoz 
1136408,4,1976608810,Sat May 30 18:34:21 PDT 2009,NO_QUERY,TWLSouthlake,@gotmiif: Go back to DC!! 
665281,0,2244839079,Fri Jun 19 15:17:21 PDT 2009,NO_QUERY,Beccibabi,"watchin open with dad, asked him to go for fathers day, he's too busy  sister grad, then bed, cpr recert in the am"
60868,0,1686530741,Sun May 03 05:49:11 PDT 2009,NO_QUERY,cravingforchaos,"@Frederick12 Awwe, I'm sorry. "
498025,0,2186074019,Mon Jun 15 18:19:07 PDT 2009,NO_QUERY,wedwithbabies,@GADBaby I was going to say pink... lol! DARN 
254126,0,1984155825,Sun May 31 14:33:01 PDT 2009,NO_QUERY,acquiesceh20,finished 12 hour shift what a crap weekend i have had 
316476,0,2002414159,Tue Jun 02 04:08:33 PDT 2009,NO_QUERY,seriousswagga,@loveandlyrics 
594292,0,2218465316,Wed Jun 17 22:31:58 PDT 2009,NO_QUERY,davidkimmm,Watching re-run of the laker parade. Wish I was there 
252428,0,1983738796,Sun May 31 13:44:24 PDT 2009,NO_QUERY,crazeyvickyt,@katee28 thats an essay to me hahah. Aww sorry thoughh..it dosnt sound too fun  umm its okay..i dont know what to write for certain pa ...
950391,4,1823992361,Sat May 16 23:40:05 PDT 2009,NO_QUERY,paul_steele,@GillFrayne good morning 
1400153,4,2054349784,Sat Jun 06 07:09:23 PDT 2009,NO_QUERY,vitoseechung,"Finally. I have added songs on my cellphone and iPod! Finally. My iPods charged again. Now, must download Apps! "
1000926,4,1880048415,Thu May 21 23:56:26 PDT 2009,NO_QUERY,toothwempale,"@cupcakesfortwo How are you, Mrs Karlson? "
1116563,4,1973262945,Sat May 30 10:48:35 PDT 2009,NO_QUERY,JChance_PVGC,@sadildin Tell your sister I said hey! 
420801,0,2062284378,Sat Jun 06 22:48:28 PDT 2009,NO_QUERY,AshyJonas,"@iLoveNickJ4LIFE Talking to my cousin, wo won't stop asking me to play games on MSN!  What's your YouTube again?"
694777,0,2253082024,Sat Jun 20 07:33:01 PDT 2009,NO_QUERY,HUN_JKgirl,"@Szabja I'm sure they will like it, cuz there are a tons of slutty hos in the video. It's sad, but true. "
683917,0,2250403519,Sat Jun 20 00:26:31 PDT 2009,NO_QUERY,jonmack,"Grrrr ultrasn0w won't be out til after the weekend  my iPhone is currently just a more expensive iPod Touch. Never mind, won't be long!"
283814,0,1993006300,Mon Jun 01 09:40:46 PDT 2009,NO_QUERY,juliehancock32,@tracybegins try my flight to Ireland in TWO DAYS! 
1018601,4,1882044701,Fri May 22 06:07:05 PDT 2009,NO_QUERY,JeanneSchrodt,At work but TGIF 
1454823,4,2063358457,Sun Jun 07 02:20:16 PDT 2009,NO_QUERY,jabba241,"strangely enough, I wanna go on an adventure. at least before college starts "
348430,0,2016764424,Wed Jun 03 07:19:24 PDT 2009,NO_QUERY,rgojit,feeling shitty emotionally = feeling shitty physically. sick  hope it goes away ASAP
819795,4,1553523058,Sat Apr 18 14:29:49 PDT 2009,NO_QUERY,Lissetteeee,anyone watching the yankee game? this is a glorious day for all mets fans 
651117,0,2237784913,Fri Jun 19 06:21:23 PDT 2009,NO_QUERY,janixamoroso,Funny cause David's dad is always the one in the news not David himself..:s Leave Jeff alone.. 
1313722,4,2013816758,Tue Jun 02 23:39:33 PDT 2009,NO_QUERY,efectespeciale,"@1jessicasexybbe: Yes, i'm in the mood for talk "
1294064,4,2003350176,Tue Jun 02 06:22:23 PDT 2009,NO_QUERY,Bonkaz,good morning everone feel that positive energy this morning  feeling good
532679,0,2196851139,Tue Jun 16 13:00:52 PDT 2009,NO_QUERY,ktsummer,"@wizbiff 3 is only 300? boo, we suck then. we had 3 bins. no sexy librarian award for us "
1444792,4,2062302766,Sat Jun 06 22:51:25 PDT 2009,NO_QUERY,Otavolimed,"@SkyJonas then again. might say yes. Still going back and forth.. i know, gosh i love hanging out with you "
936400,4,1792985146,Thu May 14 00:56:39 PDT 2009,NO_QUERY,ayah03,"@DavidArchie , cnt w8 to see this saturday in mall of asia! hope u sign autographs "
447607,0,2068744559,Sun Jun 07 14:37:17 PDT 2009,NO_QUERY,CGRY,Can't believe Margaret is leaving though 
5518,0,1469107790,Tue Apr 07 05:13:59 PDT 2009,NO_QUERY,blacb,"One day back in the office and I feel a cold coming on. Or it was my raw vegan indiscretion. Either way, I don't feel so good. "
613933,0,2225665799,Thu Jun 18 11:00:09 PDT 2009,NO_QUERY,norma_28,Hey @WSDaily OMG! I was just now able to get the USA score  NOW WHAT HAPPENS?   (World Soccer Daily live &gt; http://ustre.am/2BRR)
1448327,4,2062722871,Sun Jun 07 00:05:35 PDT 2009,NO_QUERY,taraw07,@donniewahlberg and i thank you because i am able to enjoy life more because you come back 
1022942,4,1882895730,Fri May 22 07:40:09 PDT 2009,NO_QUERY,Typewriter,@kpearce bryant paul says &quot;research is MEsearch&quot; 
1497525,4,2070388680,Sun Jun 07 17:36:26 PDT 2009,NO_QUERY,blurbs,"uhh, so far this #magic v. #lakers game is not really keeping my attention... gimme #redwings v. #penguins any day of the week! "
10377,0,1550899498,Sat Apr 18 07:34:53 PDT 2009,NO_QUERY,Jazzaboo,I wish I knew what I was doing!!! This thing is so ass backwards 
568062,0,2207398009,Wed Jun 17 07:53:08 PDT 2009,NO_QUERY,amfields,@MarleeMatlin why not? I work at one of the hotels you have stayed in and we love having you! Plus your performances are great! 
1498727,4,2070639629,Sun Jun 07 18:03:04 PDT 2009,NO_QUERY,lizachung,http://twitpic.com/6vi76 Here's one for you too 
565653,0,2206581260,Wed Jun 17 06:45:35 PDT 2009,NO_QUERY,ShelleyFinch,I am thinking Drinking and going out on a monday evening was not the best idea i have had!!! my head hurts  lol
1463740,4,2064166372,Sun Jun 07 05:26:34 PDT 2009,NO_QUERY,IvanaE,@Lihis Yep.. 
1516897,4,2175771516,Mon Jun 15 01:57:18 PDT 2009,NO_QUERY,blacktar,What we all have been waiting for; a #C64 twitter client!  http://tinyurl.com/m9d35u
1223789,4,1990459150,Mon Jun 01 04:55:44 PDT 2009,NO_QUERY,Bellej43,Am finally working out how to use this ... seems simple enough ... now I need to find some friends 
350556,0,2017919450,Wed Jun 03 09:09:17 PDT 2009,NO_QUERY,supermileycee,@16_MileyCyrus idk if shes coming to the uk  and the tickets go on sale on the 8th i think!
1365635,4,2050002655,Fri Jun 05 17:53:24 PDT 2009,NO_QUERY,AliG916,on twitter for the first time 
294646,0,1996653655,Mon Jun 01 15:27:14 PDT 2009,NO_QUERY,mikegiardino5,@ZoeyCaruso what do you want? F u! Haha jk.. Come over I'm bored! 
1081221,4,1968431737,Fri May 29 21:25:28 PDT 2009,NO_QUERY,VancoD,@Gamdel I found out the hard way: don't take on someone with 5.5k followers 
841057,4,1559971062,Sun Apr 19 12:31:00 PDT 2009,NO_QUERY,mellicherry,@jenniix3 okay thanks  whats ur youtube channel?
1221804,4,1990212667,Mon Jun 01 04:13:28 PDT 2009,NO_QUERY,SarahJean830,sleepy.....excited to get back on the exercise horse this afternoon 
1252757,4,1996767729,Mon Jun 01 15:39:21 PDT 2009,NO_QUERY,adrageli,Cooking with Doris Day singing &quot;Ain't We Got Fun&quot; in the background.  Chicken Marsala and &quot;By the Light of the Silvery Moon!&quot; Corny... 
1261268,4,1998575672,Mon Jun 01 18:46:42 PDT 2009,NO_QUERY,YourSavvyVA,@CindyWrightson You are most welcome! Let me know if you should have any questions or want to chat.  
818989,4,1553242651,Sat Apr 18 13:44:50 PDT 2009,NO_QUERY,OhhMegg,@vuhhnessa Awh! Thats no fair if you have both even if one is your backup plan! Haha! 
1456299,4,2063486922,Sun Jun 07 02:51:28 PDT 2009,NO_QUERY,kethni,Having a cuppa and then studying. Writing Boudecia7's request fic this afternoon 
154938,0,1936060692,Wed May 27 07:23:00 PDT 2009,NO_QUERY,SamanthaMandel,am going to school: hate it 
1065124,4,1964871722,Fri May 29 14:56:51 PDT 2009,NO_QUERY,MissyO22,Going to see UP with the lil bro 
893917,4,1692059727,Sun May 03 19:11:27 PDT 2009,NO_QUERY,reenasays,"Birthday lunch for @buddhalicious9 w/ @hellochelly &amp; the girls at Alice's Tea Cup, NYC  http://twitpic.com/4iu0m"
446905,0,2068552751,Sun Jun 07 14:16:46 PDT 2009,NO_QUERY,Chelsea_Bevans,I need tank tops.  it's sad i have none.
1291337,4,2002872458,Tue Jun 02 05:22:06 PDT 2009,NO_QUERY,chairguy1,"@tkpleslie Thank you we appreciate it. The link is  www.varierusa.com no hyphen    Met your other friend @Leslienewby, what a nice person!"
1527746,4,2177247119,Mon Jun 15 05:45:05 PDT 2009,NO_QUERY,pharobcool,@RanRunsIt I do.. I must of missd that one..LOL.. Just bump that and dance yourself into a good mood.. 
459317,0,2072146126,Sun Jun 07 20:28:59 PDT 2009,NO_QUERY,histephaniee,high school is over and i still have so much work 
754718,0,2288085899,Mon Jun 22 18:42:00 PDT 2009,NO_QUERY,xan_vraseth,"Back to the office, alive but bored... "
43637,0,1676588162,Fri May 01 22:30:33 PDT 2009,NO_QUERY,petraaafied,needs her krispy kreme doughnuts. it does not help that my mum is now incapable of driving to times square. sigh 
743167,0,2266764462,Sun Jun 21 09:03:47 PDT 2009,NO_QUERY,majestic7mestek,HAPPY FATHERS DAY DAD!Sorry I couldn't be @ home 
211239,0,1974440419,Sat May 30 13:08:28 PDT 2009,NO_QUERY,xcatyjx,"Just ordered chinese reading time magazine, waiting for customers "
23985,0,1557870131,Sun Apr 19 06:22:02 PDT 2009,NO_QUERY,den_ikko,Wanna watching Milan v Torino.. But.. The TV is occupied by others 
515409,0,2190833198,Tue Jun 16 03:51:09 PDT 2009,NO_QUERY,getvisible,@Heggerz lol it was from their account mgr. My puppy is in having an op so feel like a dad!  400g of Milk Tray &amp; Heroes! Love it!!!
1545020,4,2181924926,Mon Jun 15 12:29:07 PDT 2009,NO_QUERY,DatasWife,@sleepysamco although I do miss English... great subject. Yes. English and Maths 
1117634,4,1973453426,Sat May 30 11:10:38 PDT 2009,NO_QUERY,dontforgetchaos,@andysandimas Now that sounds like a good start to the day  Have a good one!
727584,0,2262858904,Sat Jun 20 23:23:27 PDT 2009,NO_QUERY,lala_alaska,just lost her brother 
1141226,4,1977148189,Sat May 30 20:13:14 PDT 2009,NO_QUERY,chaosbot,"Not to worry, noone got that one. Next question starts in 1 minute, get your thinking caps on "
911006,4,1751786339,Sat May 09 20:16:22 PDT 2009,NO_QUERY,AngelinaMCole,lucky to be where i belong 
1350820,4,2045706097,Fri Jun 05 11:07:00 PDT 2009,NO_QUERY,katarinahj,norwegian mcflyers:  the drunk @lillemongolid says Helloooo!  She's getting free booze 
700435,0,2254762370,Sat Jun 20 10:14:45 PDT 2009,NO_QUERY,jordanjaked,@meganneliz tell zack that i am very sorry to hear about his grandfather. 
736835,0,2265097111,Sun Jun 21 05:46:52 PDT 2009,NO_QUERY,izaartillero,Busy week starts tomorrow  Can't wait for the semester break and Christmas break and of course -- summer 2010 ;)
801038,4,1468007080,Mon Apr 06 23:13:42 PDT 2009,NO_QUERY,brandicole09,@materialBITCH totally real! Theres no way that was faked! Aweosme though  HA
335185,0,2013731137,Tue Jun 02 23:25:25 PDT 2009,NO_QUERY,lisisilveira,@FijiLomalagi well that too... it is a shame and a sad story to all the longer it takes worse it gets 
1508585,4,2174676987,Sun Jun 14 23:03:57 PDT 2009,NO_QUERY,MissChris10,@xxclandestinexx I have chef boyyardee ravioli if you want one 
1193992,4,1984362930,Sun May 31 14:57:43 PDT 2009,NO_QUERY,nessa188,"@Phee78 I need to be cleaning/planning for next week/ironing, but instead I am trying to follow everything that's going on in NK world. "
569921,0,2208146927,Wed Jun 17 08:50:17 PDT 2009,NO_QUERY,LadyM80,sad that cameron field is dissapearing before my eyes.. 
727304,0,2262791932,Sat Jun 20 23:14:38 PDT 2009,NO_QUERY,ChaChaRoni,"If I die tonight... I'm in a red truck, passenger side, in Chehalis and with Vanessa in the driver seat.. "
1146790,4,1977983763,Sat May 30 22:09:25 PDT 2009,NO_QUERY,ofdphoto,@mediahunter opportunity here 
371633,0,2050481213,Fri Jun 05 18:44:46 PDT 2009,NO_QUERY,danyelleb,@jessstretch oh so THAT'S where you are...come back online soon bb 
210458,0,1974246079,Sat May 30 12:44:11 PDT 2009,NO_QUERY,juniperala,@ms_fire so sorry about ur doggie. No fun putting down pets. 
1354237,4,2046981240,Fri Jun 05 12:58:41 PDT 2009,NO_QUERY,rowdyrose,@saimaeve yay for getting to go home from the hospital! feel better girlie 
1224495,4,1990552697,Mon Jun 01 05:10:06 PDT 2009,NO_QUERY,allisonxjonas,My mommy also let me stay home if only I didn't wake up  dang it!
718540,0,2260325491,Sat Jun 20 19:02:12 PDT 2009,NO_QUERY,annelie912,@gift_of_game where are u now? Im lost without u 
1420905,4,2058229414,Sat Jun 06 14:31:27 PDT 2009,NO_QUERY,tellmebreen,"@FabiRG Thanks &lt;33  haha,"
